gp_id,go_annotations,go_term,go_definitions,Obsolete,Parents,Aspect,go_id_pmc,go_term_pmc,normalized_term,normalized_id,go_match
GO:0016020,3707,membrane,A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.,FALSE,GO:0110165,cellular_component,916,2367754,membrane,GO:0016020,1
GO:0005634,10025,nucleus,"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.",FALSE,GO:0043231,cellular_component,840,923498,nucleus,GO:0005634,1
GO:0005694,303,chromosome,A structure composed of a very long molecule of DNA and associated proteins (e.g. histones) that carries hereditary information.|Chromosomes include parts that are not part of the chromatin. Examples include the kinetochore.,FALSE,GO:0043232,cellular_component,166,770749,chromosome,GO:0005694,1
GO:0005737,7678,cytoplasm,"The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.",FALSE,GO:0110165|GO:0005622,cellular_component,851,647686,cytoplasm,GO:0005737,1
GO:0009986,920,cell surface,The external part of the cell wall and/or plasma membrane.|Note that this term is intended to annotate gene products that are attached (integrated or loosely bound) to the plasma membrane or cell wall.,FALSE,GO:0110165,cellular_component,292,594526,cell surface,GO:0009986,1
GO:0000785,1477,chromatin,"The ordered and organized complex of DNA, protein, and sometimes RNA, that forms the chromosome.|Chromosomes include parts that are not part of the chromatin. Examples include the kinetochore.",FALSE,GO:0032993|GO:0005694,cellular_component,126,435576,chromatin,GO:0000785,1
GO:0031012,223,extracellular matrix,"A structure lying external to one or more cells, which provides structural support, biochemical or biomechanical cues for cells or tissues.",FALSE,GO:0030312,cellular_component,559,425829,extracellular matrix,GO:0031012,1
GO:0005886,21220,plasma membrane,The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.,FALSE,GO:0071944|GO:0016020,cellular_component,919,425646,plasma membrane,GO:0005886,1
GO:0005783,1836,endoplasmic reticulum,"The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached).",FALSE,GO:0043231|GO:0012505|GO:0005737,cellular_component,287,327000,endoplasmic reticulum,GO:0005783,1
GO:0005856,438,cytoskeleton,"A cellular structure that forms the internal framework of eukaryotic and prokaryotic cells. The cytoskeleton includes intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles.",FALSE,GO:0043232,cellular_component,286,260491,cytoskeleton,GO:0005856,1
GO:0005829,35699,cytosol,"The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes.",FALSE,GO:0110165|GO:0005737,cellular_component,570,253878,cytosol,GO:0005829,1
GO:0031982,163,vesicle,"Any small, fluid-filled, spherical organelle enclosed by membrane.",FALSE,GO:0043227,cellular_component,129,243488,vesicle,GO:0031982,1
GO:0030424,382,axon,"The long process of a neuron that conducts nerve impulses, usually away from the cell body to the terminals and varicosities, which are sites of storage and release of neurotransmitter.",FALSE,GO:0043005,cellular_component,105,198887,axon,GO:0030424,1
GO:0005874,352,microtubule,"Any of the long, generally straight, hollow tubes of internal diameter 12-15 nm and external diameter 24 nm found in a wide variety of eukaryotic cells; each consists (usually) of 13 protofilaments of polymeric tubulin, staggered in such a manner that the tubulin monomers are arranged in a helical pattern on the microtubular surface, and with the alpha/beta axes of the tubulin subunits parallel to the long axis of the tubule; exist in equilibrium with pool of tubulin monomers and can be rapidly assembled or disassembled in response to physiological stimuli; concerned with force generation, e.g. in the spindle.",FALSE,GO:0099513|GO:0015630,cellular_component,132,188542,microtubule,GO:0005874,1
GO:0043657,10,host cell,A cell within a host organism. Includes the host plasma membrane and any external encapsulating structures such as the host cell wall and cell envelope.,FALSE,GO:0018995,cellular_component,10,182241,host cell,GO:0043657,1
GO:0045202,520,synapse,"The junction between an axon of one neuron and a dendrite of another neuron, a muscle fiber or a glial cell. As the axon approaches the synapse it enlarges into a specialized structure, the presynaptic terminal bouton, which contains mitochondria and synaptic vesicles. At the tip of the terminal bouton is the presynaptic membrane; facing it, and separated from it by a minute cleft (the synaptic cleft) is a specialized area of membrane on the receiving cell, known as the postsynaptic membrane. In response to the arrival of nerve impulses, the presynaptic terminal bouton secretes molecules of neurotransmitters into the synaptic cleft. These diffuse across the cleft and transmit the signal to the postsynaptic membrane.",FALSE,GO:0030054,cellular_component,251,178649,synapse,GO:0045202,1
GO:0005819,150,spindle,The array of microtubules and associated molecules that forms between opposite poles of a eukaryotic cell during mitosis or meiosis and serves to move the duplicated chromosomes apart.,FALSE,GO:0043232|GO:0015630,cellular_component,128,175334,spindle,GO:0005819,1
GO:0005840,5624,ribosome,"An intracellular organelle, about 200 A in diameter, consisting of RNA and protein. It is the site of protein biosynthesis resulting from translation of messenger RNA (mRNA). It consists of two subunits, one large and one small, each containing only protein and RNA. Both the ribosome and its subunits are characterized by their sedimentation coefficients, expressed in Svedberg units (symbol: S). Hence, the prokaryotic ribosome (70S) comprises a large (50S) subunit and a small (30S) subunit, while the eukaryotic ribosome (80S) comprises a large (60S) subunit and a small (40S) subunit. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site). Ribosomes from prokaryotes, eukaryotes, mitochondria, and chloroplasts have characteristically distinct ribosomal proteins.",FALSE,GO:0043232,cellular_component,506,161615,ribosome,GO:0005840,1
GO:0019867,2,outer membrane,The external membrane of Gram-negative bacteria or certain organelles such as mitochondria and chloroplasts; freely permeable to most ions and metabolites.,FALSE,GO:0016020,cellular_component,28,149003,outer membrane,GO:0019867,1
GO:0005777,292,peroxisome,"A small organelle enclosed by a single membrane, and found in most eukaryotic cells. Contains peroxidases and other enzymes involved in a variety of metabolic processes including free radical detoxification, lipid catabolism and biosynthesis, and hydrogen peroxide metabolism.",FALSE,GO:0042579,cellular_component,107,135281,peroxisome,GO:0005777,1
GO:0005604,116,basement membrane,A collagen-containing extracellular matrix consisting of a thin layer of dense material found in various animal tissues interposed between the cells and the adjacent connective tissue. It consists of the basal lamina plus an associated layer of reticulin fibers.|Note that this term has no relationship to 'membrane ; GO:0016020' because the basement membrane is not a lipid bilayer.,FALSE,GO:0062023,cellular_component,115,131060,basement membrane,GO:0005604,1
GO:0031966,180,mitochondrial membrane,Either of the lipid bilayers that surround the mitochondrion and form the mitochondrial envelope.,FALSE,GO:0005740|GO:0016020|GO:0031090,cellular_component,101,129925,mitochondrial membrane,GO:0031966,1
GO:0015629,464,actin cytoskeleton,The part of the cytoskeleton (the internal framework of a cell) composed of actin and associated proteins. Includes actin cytoskeleton-associated complexes.,FALSE,GO:0005856,cellular_component,157,109045,actin cytoskeleton,GO:0015629,1
GO:0031672,17,A band,"The dark-staining region of a sarcomere, in which myosin thick filaments are present; the center is traversed by the paler H zone, which in turn contains the M line.",FALSE,GO:0110165|GO:0030017,cellular_component,9,105881,A band,GO:0031672,1
GO:0005764,463,lysosome,"A small lytic vacuole that has cell cycle-independent morphology found in most animal cells and that contains a variety of hydrolases, most of which have their maximal activities in the pH range 5-6. The contained enzymes display latency if properly isolated. About 40 different lysosomal hydrolases are known and lysosomes have a great variety of morphologies and functions.",FALSE,GO:0000323,cellular_component,171,101710,lysosome,GO:0005764,1
GO:0005615,2981,extracellular space,"That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid.|Note that for multicellular organisms, the extracellular space refers to everything outside a cell, but still within the organism (excluding the extracellular matrix). Gene products from a multi-cellular organism that are secreted from a cell into the interstitial fluid or blood can therefore be annotated to this term.",FALSE,GO:0110165|GO:0005576,cellular_component,728,94259,extracellular space,GO:0005615,1
GO:0000805,6,X chromosome,The sex chromosome present in both sexes of species in which the male is the heterogametic sex. Two copies of the X chromosome are present in each somatic cell of females and one copy is present in males.,FALSE,GO:0000803,cellular_component,1,77391,no appropriate match,GO:0000000,0
GO:0005925,681,focal adhesion,A cell-substrate junction that anchors the cell to the extracellular matrix and that forms a point of termination of actin filaments. In insects focal adhesion has also been referred to as hemi-adherens junction (HAJ).,FALSE,GO:0030055,cellular_component,261,77168,focal adhesion,GO:0005925,1
GO:0070160,51,tight junction,A cell-cell junction that seals cells together in an epithelium in a way that prevents even small molecules from leaking from one side of the sheet to the other.,FALSE,GO:0005911,cellular_component,17,74043,tight junction,GO:0005923,0
GO:0044297,82,cell body,"The portion of a cell bearing surface projections such as axons, dendrites, cilia, or flagella that includes the nucleus, but excludes all cell projections.|Note that 'cell body' and 'cell soma' are not used in the literature for cells that lack projections, nor for some cells (e.g. yeast with mating projections) that do have projections.",FALSE,GO:0110165,cellular_component,27,69156,cell body,GO:0044297,1
GO:0005773,13,vacuole,"A closed structure, found only in eukaryotic cells, that is completely surrounded by unit membrane and contains liquid material. Cells contain one or several vacuoles, that may have different functions from each other. Vacuoles have a diverse array of functions. They can act as a storage organelle for nutrients or waste products, as a degradative compartment, as a cost-effective way of increasing cell size, and as a homeostatic regulator controlling both turgor pressure and pH of the cytosol.",FALSE,GO:0043231|GO:0005737,cellular_component,121,69048,vacuole,GO:0005773,1
GO:0000786,150,nucleosome,"A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures.",FALSE,GO:0032993|GO:0000785,cellular_component,160,68283,nucleosome,GO:0000786,1
