hpo_id,hpo_term,hpo_parent,hpo_term_pmc,hpo_annotations,hpo_id_pmc,normalized_term,normalized_id,hpo_match
HP:0034280,Target cells,HP:0004447,2261115,2,0,Target cells,HP:0001970,0
HP:0001176,Large hands,HP:0005922,2115824,64,3,Large hands,HP:0200055,0
HP:0200055,Small hand,HP:0005927,2039607,152,10,Small hand,HP:0200055,1
HP:0004325,Decreased body weight,HP:0004323,1905672,135,14,Underweight,HP:0004325,1
HP:0004324,Increased body weight,HP:0004323,1673344,25,11,Obesity,HP:0001513,0
HP:0012531,Pain,HP:0025142,1550177,82,6,Pain,HP:0012531,1
HP:0001824,Weight loss,HP:0004325,1517065,254,5,Weight loss,HP:0001824,1
HP:0032169,Severe infection,HP:0032101,1399790,28,0,Recurrent severe infections,HP:0002728,0
HP:0012649,Increased inflammatory response,HP:0012647,1317001,16,3,Increased inflammatory response,HP:0012649,1
HP:0430091,Marker expression,HP:0020228,1303280,0,0,no appropriate match,HP:0000000,0
HP:0020174,Refractory drug response,HP:0020169,1299215,0,0,Drug-resistant epilepsy,HP:0002528,0
HP:0030852,High pulse pressure,HP:0030850,1294706,0,0,no appropriate match,HP:0000000,0
HP:0031035,Chronic infection,HP:0032101,1270454,14,0,Recurrent infections,HP:0002719,0
HP:0001298,Encephalopathy,HP:0012638,1251550,152,16,Encephalopathy,HP:0001298,1
HP:0011889,Bleeding with minor or no trauma,HP:0001892,1202678,7,0,Easy bruising,HP:0000978,0
HP:0030731,Carcinoma,HP:0031492,1181779,9,2,no appropriate match,HP:0000000,0
HP:0032263,Increased blood pressure,HP:0030972,1144906,2,1,Hypertension,HP:0000822,0
HP:0030851,Low pulse pressure,HP:0030850,1121350,2,0,Abnormal pulse pressure,HP:0030827,0
HP:6000847,Cardiac mass,HP:0001627,1106663,0,0,Abnormal cardiac morphology,HP:0001627,0
HP:0004599,Absent or minimally ossified vertebral bodies,HP:0100569,1096878,5,0,Absent vertebral ossification,HP:0005698,0
HP:0000822,Hypertension,HP:0032263,1077601,382,18,Hypertension,HP:0000822,1
HP:0000716,Depression,HP:0100851|HP:0000745,1046048,305,16,Depressivity,HP:0000716,1
HP:0032036,Reduced contrast sensitivity,HP:0000504,1003902,1,0,Reduced contrast sensitivity,HP:0030500,0
HP:0002664,Neoplasm,HP:0000118,996536,99,25,Neoplasm,HP:0002664,1
HP:0033821,Pulmonary mass,HP:0033822,987798,0,0,Pulmonary infiltrates,HP:0002113,0
HP:0012648,Decreased inflammatory response,HP:0012647,939225,0,0,Decreased inflammatory response,HP:0012649,0
HP:0001708,Right ventricular failure,HP:0033118,931677,28,3,Right ventricular failure,HP:0001708,1
HP:0001197,Abnormality of prenatal development or birth,HP:0000118,921294,7,20,Abnormality of prenatal development or birth,HP:0001197,1
HP:0001635,Congestive heart failure,HP:0011025,918021,288,6,Congestive heart failure,HP:0001635,1
HP:0410399,Positive blood lead test,HP:0410172,911204,0,0,Increased blood lead level,HP:0032446,0
HP:5200419,Disorder of thought control,HP:0025769|HP:0000746,887932,0,0,no appropriate match,HP:0000000,0
HP:0025758,Characteristic of mass,HP:0012823,883829,0,0,no appropriate match,HP:0000000,0
HP:4000068,Abnormal interest,HP:0000708,881782,0,0,Obsessive compulsive behavior,HP:0000722,0
HP:0020173,Reduced drug efficacy,HP:0020169,876793,0,0,no appropriate match,HP:0000000,0
